arch, instr, time(ms)
arm64, BPF_JMP BPF_JLE BPF_X, 14332
arm64, BPF_JMP BPF_JNE BPF_X, 8227
arm64, BPF_JMP BPF_JSGT BPF_X, 12726
arm64, BPF_JMP BPF_JSLT BPF_X, 12885
arm64, BPF_JMP BPF_JSGE BPF_X, 12662
arm64, BPF_JMP BPF_JSLE BPF_X, 11055
arm64, BPF_JMP BPF_JSET BPF_X, 4984
arm64, BPF_JMP32 BPF_JEQ BPF_K, 19472
arm64, BPF_JMP32 BPF_JGT BPF_K, 21586
arm64, BPF_JMP32 BPF_JLT BPF_K, 19915
arm64, BPF_JMP32 BPF_JGE BPF_K, 20202
arm64, BPF_JMP32 BPF_JLE BPF_K, 19418
arm64, BPF_JMP32 BPF_JNE BPF_K, 16367
arm64, BPF_JMP32 BPF_JSGT BPF_K, 14083
arm64, BPF_JMP32 BPF_JSLT BPF_K, 12097
arm64, BPF_JMP32 BPF_JSGE BPF_K, 12204
arm64, BPF_JMP32 BPF_JSLE BPF_K, 13435
arm64, BPF_JMP32 BPF_JSET BPF_K, 13520
arm64, BPF_ALU BPF_MOV BPF_K, 15730
arm64, BPF_ALU BPF_ADD BPF_K, 13122
arm64, BPF_ALU BPF_SUB BPF_K, 37820
arm64, BPF_ALU BPF_AND BPF_K, 25713
arm64, BPF_ALU BPF_OR BPF_K, 32115
arm64, BPF_ALU BPF_XOR BPF_K, 41153
arm64, BPF_ALU BPF_MUL BPF_K, 7178
arm64, BPF_ALU BPF_DIV BPF_K, 15603
arm64, BPF_ALU BPF_MOD BPF_K, 6047
arm64, BPF_ALU BPF_LSH BPF_K, 5509
arm64, BPF_ALU BPF_RSH BPF_K, 3748
arm64, BPF_ALU BPF_ARSH BPF_K, 3951
arm64, BPF_JMP BPF_JA, 1408
arm64, BPF_JMP BPF_JEQ BPF_K, 29038
arm64, BPF_JMP BPF_JGT BPF_K, 23187
arm64, BPF_JMP BPF_JLT BPF_K, 25430
arm64, BPF_JMP BPF_JGE BPF_K, 22198
arm64, BPF_JMP BPF_JLE BPF_K, 17472
arm64, BPF_JMP BPF_JNE BPF_K, 15527
arm64, BPF_JMP BPF_JSGT BPF_K, 13667
arm64, BPF_JMP BPF_JSLT BPF_K, 13618
arm64, BPF_JMP BPF_JSGE BPF_K, 12974
